business_name,account_size,sale_price,funded_full_price,discount_coupon_code,trail_type,trustpilot_score,profit_goal,scraped_at
Alpha Capital Group,,50,,,assessment,,10%,2025-06-20T02:11:42.784396
Alpha Capital Group,,50,,,assessment,,10%,2025-06-20T02:11:42.784654
Alpha Capital Group,,,,,assessment,,,2025-06-20T02:11:42.785277
Alpha Capital Group,,,,,assessment,,,2025-06-20T02:11:42.785348
Alpha Capital Group,,50,,,assessment,,10%,2025-06-20T02:11:42.786569
Alpha Capital Group,,50,,,assessment,,10%,2025-06-20T02:11:42.786765
Alpha Capital Group,,50,,,assessment,,10%,2025-06-20T02:11:42.786957
Alpha Capital Group,,50,,,assessment,,10%,2025-06-20T02:11:42.787158
Alpha Capital Group,,50,,,assessment,,10%,2025-06-20T02:11:42.787351
Alpha Capital Group,,50,,,assessment,,10%,2025-06-20T02:11:42.787543
