business_name,account_size,sale_price,funded_full_price,discount_coupon_code,trail_type,trustpilot_score,profit_goal,scraped_at
Alpha Capital Group,200000,40,,Code,assessment,5.0,,2025-06-20T02:22:29.332925
Alpha Capital Group,200000,40,,Code,assessment,5.0,,2025-06-20T02:22:33.575287
Alpha Capital Group,200000,40,,Code,assessment,5.0,,2025-06-20T02:22:37.815152
Alpha Capital Group,4257,40,,Code,assessment,5.0,,2025-06-20T02:22:42.059874
Alpha Capital Group,4257,40,,Code,assessment,5.0,,2025-06-20T02:22:46.279884
Alpha Capital Group,4257,40,,Code,assessment,5.0,,2025-06-20T02:22:50.519121
Alpha Capital Group,1398,40,,Code,assessment,5.0,,2025-06-20T02:22:54.766119
Alpha Capital Group,1398,40,,Code,assessment,5.0,,2025-06-20T02:22:58.984307
Alpha Capital Group,1398,40,,Code,assessment,5.0,,2025-06-20T02:23:03.205696
Alpha Capital Group,1945,40,,Code,assessment,5.0,,2025-06-20T02:23:07.445898
Alpha Capital Group,1945,40,,Code,assessment,5.0,,2025-06-20T02:23:11.669134
Alpha Capital Group,1945,40,,Code,assessment,5.0,,2025-06-20T02:23:15.889516
Alpha Capital Group,5000,40,,Code,assessment,5.0,,2025-06-20T02:23:20.137721
Alpha Capital Group,5000,40,,Code,assessment,5.0,,2025-06-20T02:23:24.366901
Alpha Capital Group,5000,40,,Code,assessment,5.0,,2025-06-20T02:23:28.588096
